+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder7|altpriority_encoder15                                  ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder7|altpriority_encoder14|altpriority_encoder13            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder7|altpriority_encoder14|altpriority_encoder12            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder7|altpriority_encoder14                                  ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder7                                                        ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder6|altpriority_encoder9|altpriority_encoder13             ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder6|altpriority_encoder9|altpriority_encoder12             ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder6|altpriority_encoder9                                   ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder6|altpriority_encoder8|altpriority_encoder11             ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder6|altpriority_encoder8|altpriority_encoder10             ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder6|altpriority_encoder8                                   ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2|altpriority_encoder6                                                        ; 8     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altpriority_encoder2                                                                             ; 16    ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component|altbarrel_shift5                                                                                 ; 23    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float|short_to_float_altfp_convert_p1n_component                                                                                                  ; 17    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail|short_to_float                                                                                                                                             ; 17    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data_cail                                                                                                                                                            ; 99    ; 78             ; 0            ; 78             ; 33     ; 78              ; 78            ; 78              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|wrfull_eq_comp                                                                                                        ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|rdempty_eq_comp                                                                                                       ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|ws_dgrp|dffpipe16                                                                                                     ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|ws_dgrp                                                                                                               ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|rs_dgwp|dffpipe13                                                                                                     ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|rs_dgwp                                                                                                               ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|rs_bwp                                                                                                                ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|rs_brp                                                                                                                ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|fifo_ram                                                                                                              ; 31    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|wrptr_g1p                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|rdptr_g1p                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|rs_dgwp_gray2bin                                                                                                      ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated|rdptr_g_gray2bin                                                                                                      ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo|dcfifo_component|auto_generated                                                                                                                       ; 21    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606|ad_fifo                                                                                                                                                       ; 21    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ad7606                                                                                                                                                               ; 19    ; 15             ; 0            ; 15             ; 23     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
